"","Garch","EGarch","RGarch_rvs","RGarch_bvs","RGarch_rk","RW_rvs","RW_bvs","RW_rk","MA_rvs","MA_bvs","MA_rk","EW_rvs","EW_bvs","EW_rk"
"MSE",5.02563259836569e-08,3.88202461171717e-08,4.44803411889504e-08,4.35536862238437e-08,4.8361266048283e-08,6.9613103656703e-08,4.49720875782854e-08,5.2972140365221e-08,4.82291079143407e-08,4.09245427291268e-08,4.33570319773044e-08,4.44665977206272e-08,3.75582573839989e-08,3.97095192642789e-08
"QLIKE",-8.63952967451317,-8.6635700176897,-8.69251240249586,-8.7027856472635,-8.68383404329176,-8.59412265542515,-8.50439878672173,-8.47859727491975,-8.67961003251305,-8.58973506451464,-8.67554023995936,-8.70218772212554,-8.62414089153594,-8.69533218980352
"BIC",-6.62474757923501,-6.65815801938443,-4.98347389391516,-5.22015240909381,-4.69187713312897,0,0,0,0,0,0,0,0,0
