"","Garch","EGarch","RGarch_rvs","RGarch_bvs","RGarch_rk","RW_rvs","RW_bvs","RW_rk","MA_rvs","MA_bvs","MA_rk","EW_rvs","EW_bvs","EW_rk"
"MSE",1.27954583706413e-07,1.09768232124252e-07,1.03405375507233e-07,1.01863157436208e-07,1.0782870235335e-07,1.20886022729976e-07,1.07565603112034e-07,1.59770454520899e-07,1.18263283028067e-07,1.14033963000387e-07,1.26962936332288e-07,1.08254480427455e-07,1.04515268245344e-07,1.17952535775981e-07
"QLIKE",-7.63771492728878,-7.64466064207863,-7.67861144954856,-7.67954430415901,-7.67574252852716,-7.62931010247488,-7.60520065508111,-7.51512483890908,-7.66415216033466,-7.64797544573868,-7.65724601774085,-7.6766699016102,-7.66358456507598,-7.66988997651495
"BIC",-5.99296626024665,-6.02298082217352,-4.78291745873619,-4.81666929188376,-4.12316081048104,0,0,0,0,0,0,0,0,0
