"","Garch","EGarch","RGarch_rvs","RGarch_bvs","RGarch_rk","RW_rvs","RW_bvs","RW_rk","MA_rvs","MA_bvs","MA_rk","EW_rvs","EW_bvs","EW_rk"
"MSE",3.69167358544109e-08,3.08776553200655e-08,3.54848851506848e-08,3.32630497915506e-08,3.37401403019871e-08,5.44494571836272e-08,3.85921244901024e-08,5.13513686417108e-08,3.88057779611223e-08,3.81257586733987e-08,3.70797929118006e-08,3.71044984084171e-08,3.70578733837521e-08,3.49154716031879e-08
"QLIKE",-8.45144064272269,-8.45543230118035,-8.45528128413444,-8.46710141275961,-8.47729983250541,-8.32693037377959,-8.22785451667281,-8.25747827151231,-8.45035586327558,-8.36851446223943,-8.46639677539974,-8.47030657347574,-8.38701000572736,-8.48353174651245
"BIC",-6.25268162530052,-6.26622126996303,-4.43107857238019,-4.63402683639025,-4.2474687193537,0,0,0,0,0,0,0,0,0
