"","Garch","EGarch","RGarch_rvs","RGarch_bvs","RGarch_rk","RW_rvs","RW_bvs","RW_rk","MA_rvs","MA_bvs","MA_rk","EW_rvs","EW_bvs","EW_rk"
"MSE",6.30825543232062e-08,5.43580654303997e-08,5.71049056899761e-08,6.05727391286611e-08,5.69350156302172e-08,6.98901503314065e-08,6.73410494989583e-08,8.84958771995482e-08,5.88873613758365e-08,5.83092237625958e-08,6.33320329110843e-08,5.64056139142241e-08,5.5930443836748e-08,6.11128183700526e-08
"QLIKE",-8.41745946271302,-8.42107646802764,-8.4651681042644,-8.46178034489433,-8.45946942374253,-8.45625480887777,-8.43937540626763,-8.38856245084609,-8.45620559329171,-8.44919268552421,-8.4476612103932,-8.4711174388606,-8.46411456082095,-8.46312678203653
"BIC",-6.50725810288386,-6.54954269813858,-5.61118224012124,-5.57067137910055,-5.03333717724357,0,0,0,0,0,0,0,0,0
