"","Garch","EGarch","RGarch_rvs","RGarch_bvs","RGarch_rk","RW_rvs","RW_bvs","RW_rk","MA_rvs","MA_bvs","MA_rk","EW_rvs","EW_bvs","EW_rk"
"MSE",5.28654833262008e-08,5.53959507689269e-08,5.69001835657867e-08,5.87905698916504e-08,5.89557608040821e-08,6.33983990950946e-08,6.39315303237904e-08,7.25666664584905e-08,5.81358407820714e-08,5.84291531630621e-08,5.92242554909051e-08,5.28692186551272e-08,5.36681929604295e-08,5.39878743144463e-08
"QLIKE",-8.1353079148868,-8.11982623615882,-8.17073879799449,-8.16744113599082,-8.16331444739193,-8.11529836812572,-8.08230637931559,-7.92071663579931,-8.15738833761669,-8.14573796538339,-8.13778407632205,-8.17272839486792,-8.16204007780787,-8.15507064939231
"BIC",-6.24199490200744,-6.28406580428272,-5.01380785238075,-5.00905008963736,-4.22973167062536,0,0,0,0,0,0,0,0,0
