"","Garch","EGarch","RGarch_rvs","RGarch_bvs","RGarch_rk","RW_rvs","RW_bvs","RW_rk","MA_rvs","MA_bvs","MA_rk","EW_rvs","EW_bvs","EW_rk"
"MSE",2.16010881224612e-07,1.79121255131804e-07,2.20091520341393e-07,2.11875241479324e-07,2.22754084020554e-07,3.58795651682485e-07,1.87286738545295e-07,3.42392937039705e-07,2.60253078660024e-07,2.17106779424657e-07,2.51366860226144e-07,2.48275121567997e-07,1.98405679863644e-07,2.43871241652304e-07
"QLIKE",-8.13969610317094,-8.14050134259784,-8.17660542156956,-8.17595354636611,-8.1720021971738,-8.09951980170223,-8.04506982430478,-8.02870603528081,-8.16174236107795,-8.14934882733668,-8.15175692760929,-8.17624345326359,-8.16385833065941,-8.16815893766752
"BIC",-6.03686945206189,-6.05346259163069,-4.27568914072421,-4.24912507183535,-3.97513607496266,0,0,0,0,0,0,0,0,0
