"","Garch","EGarch","RGarch_rvs","RGarch_bvs","RGarch_rk","RW_rvs","RW_bvs","RW_rk","MA_rvs","MA_bvs","MA_rk","EW_rvs","EW_bvs","EW_rk"
"MSE",7.95724041135829e-08,7.15575356226709e-08,7.33022480693361e-08,7.15614245407453e-08,7.38084307283341e-08,1.1115687431336e-07,8.74064944582502e-08,1.1965897996002e-07,7.99014328538181e-08,7.72046078439469e-08,8.04759847232471e-08,7.72333635557334e-08,7.45528744780765e-08,7.71827220807681e-08
"QLIKE",-8.39401896454803,-8.39018337645857,-8.42744644432936,-8.43437977557651,-8.43032038406078,-8.31716400719261,-8.21182603655848,-8.29443719665471,-8.40752361458732,-8.31288333402048,-8.41242504774893,-8.41930891850996,-8.32926721022621,-8.42352740515078
"BIC",-6.52761043559254,-6.56141397354116,-5.04011193920902,-5.39168330573278,-4.82589424188996,0,0,0,0,0,0,0,0,0
