"","Garch","EGarch","RGarch_rvs","RGarch_bvs","RGarch_rk","RW_rvs","RW_bvs","RW_rk","MA_rvs","MA_bvs","MA_rk","EW_rvs","EW_bvs","EW_rk"
"MSE",1.38249980317037e-07,1.41709236191807e-07,1.31775353212458e-07,1.34604038147792e-07,1.29907459531091e-07,1.9233049395521e-07,1.40559238862124e-07,2.02628242899876e-07,1.48084293006039e-07,1.39227178443006e-07,1.45306547658783e-07,1.40595765457986e-07,1.30980913451186e-07,1.37082694292354e-07
"QLIKE",-7.94078892006328,-7.93437081859714,-7.95219723192648,-7.9391009030016,-7.96907889763021,-5.45211093026232,-0.365121628712642,-3.81855714875355,-7.97501267099189,-7.9435717586229,-7.96307793769586,-7.98730644195245,-7.96168846943135,-7.97285560007666
"BIC",-6.06178272764877,-6.10811739012925,-4.35851616204647,-4.37539963781634,-3.96622613059983,0,0,0,0,0,0,0,0,0
