"","Garch","EGarch","RGarch_rvs","RGarch_bvs","RGarch_rk","RW_rvs","RW_bvs","RW_rk","MA_rvs","MA_bvs","MA_rk","EW_rvs","EW_bvs","EW_rk"
"MSE",3.35048773750678e-07,3.25863986695026e-07,3.2968276120662e-07,3.16883418456805e-07,3.42510673110742e-07,3.06934772730675e-07,3.02199592404303e-07,4.7058701868267e-07,3.39655616825407e-07,3.40251792500649e-07,3.7454447541047e-07,3.18748956904724e-07,3.17989476013495e-07,3.41646684119644e-07
"QLIKE",-7.94061443397171,-7.91520412047748,-7.98017884023705,-7.98074406831662,-7.95864430533137,-7.90748915207166,-7.83523479234384,-7.60235024829541,-7.99398949595561,-7.94493538715021,-7.9691502168988,-8.00944760680958,-7.96414990129904,-7.97745044997657
"BIC",-5.84975390015504,-5.87135891540643,-4.52279423454406,-4.47560094940331,-3.69157343318783,0,0,0,0,0,0,0,0,0
