"","Garch","EGarch","RGarch_rvs","RGarch_bvs","RGarch_rk","RW_rvs","RW_bvs","RW_rk","MA_rvs","MA_bvs","MA_rk","EW_rvs","EW_bvs","EW_rk"
"MSE",7.35403083973506e-08,8.03976020799528e-08,6.62216187345003e-08,6.9478502059124e-08,6.85169087176278e-08,7.95819141714838e-08,6.5473497360967e-08,7.77216374700634e-08,7.94423650381264e-08,7.41202937122016e-08,8.08335036350463e-08,6.69346224498292e-08,6.1916249520929e-08,6.6106896072942e-08
"QLIKE",-8.00081494946288,-7.9970680071407,-8.04116627651358,-8.04138302276848,-8.03720357949246,-7.9785699163632,-7.95157486238371,-7.90271262327372,-8.03662696732816,-8.02255056863447,-8.03127404188371,-8.04679703029519,-8.03427945705765,-8.04051146758601
"BIC",-6.01039782827366,-6.04428048689333,-4.70130849343718,-4.74125289804278,-4.25456808142912,0,0,0,0,0,0,0,0,0
