"","FTSE","N225","GDAXI","DJI","FCHI","KS11","AEX","SSMI","IBEX","NSEI","MXX","STOXX50E"
"Garch",-6.52761043559254,-5.84975390015504,-6.01039782827366,-6.62474757923501,-6.0685077792083,-6.07334164766612,-6.24199490200744,-6.50725810288386,-5.99296626024665,-6.03686945206189,-6.25268162530052,-6.06178272764877
"EGarch",-6.56141397354116,-5.87135891540643,-6.04428048689333,-6.65815801938443,-6.11323826842911,-6.08539514509017,-6.28406580428272,-6.54954269813858,-6.02298082217352,-6.05346259163069,-6.26622126996303,-6.10811739012925
"RGarch_rvs",-5.04011193920902,-4.52279423454406,-4.70130849343718,-4.98347389391516,-4.84374457606247,-4.93914940644306,-5.01380785238075,-5.61118224012124,-4.78291745873619,-4.27568914072421,-4.43107857238019,-4.35851616204647
"RGarch_bvs",-5.39168330573278,-4.47560094940331,-4.74125289804278,-5.22015240909381,-4.8444007369144,-4.87058934184225,-5.00905008963736,-5.57067137910055,-4.81666929188376,-4.24912507183535,-4.63402683639025,-4.37539963781634
"RGarch_rk",-4.82589424188996,-3.69157343318783,-4.25456808142912,-4.69187713312897,-4.01229483566079,-4.06688563903893,-4.22973167062536,-5.03333717724357,-4.12316081048104,-3.97513607496266,-4.2474687193537,-3.96622613059983
