Date,Symbol,rv5_ss,open_time,rk_twoscale,nobs,close_price,bv_ss,rv10,open_price,bv,close_time,rv5,rsv_ss,medrv,rsv,open_to_close,rk_th2,rv10_ss,rk_parzen
2005-10-03 00:00:00+01:00,.OMXHPI,1.7800000000000002e-05,100006,1.4300000000000002e-05,510,7919.64,1.4599999999999999e-05,1.6800000000000002e-05,7869.94,1.4599999999999999e-05,182907,1.7800000000000002e-05,4.49e-06,8.35e-06,4.49e-06,0.006295312,1.3300000000000001e-05,1.6800000000000002e-05,2.95e-05
2005-10-04 00:00:00+01:00,.OMXHPI,2.18e-05,100004,2.12e-05,510,7912.11,2.08e-05,2.07e-05,7930.52,2.08e-05,182904,2.18e-05,1.1599999999999999e-05,1.05e-05,1.1599999999999999e-05,-0.00232411,2.15e-05,2.07e-05,1.0300000000000001e-05
2005-10-05 00:00:00+01:00,.OMXHPI,2.3899999999999998e-05,100003,2.4e-05,510,7836.75,2.56e-05,2.8100000000000002e-05,7918.54,2.56e-05,182906,2.3899999999999998e-05,1.87e-05,8.04e-06,1.87e-05,-0.010382638000000001,2.51e-05,2.8100000000000002e-05,7.140000000000001e-05
2005-10-06 00:00:00+01:00,.OMXHPI,6.07e-05,100004,6.48e-05,510,7702.8,4.4e-05,6.879999999999999e-05,7836.95,4.4e-05,182904,6.07e-05,5.12e-05,1.17e-05,5.12e-05,-0.017265829,7.159999999999999e-05,6.879999999999999e-05,0.00023769900000000002
2005-10-07 00:00:00+01:00,.OMXHPI,3.01e-05,100004,2.15e-05,510,7697.93,2.8999999999999997e-05,2.59e-05,7715.11,2.8999999999999997e-05,182905,3.01e-05,1.7e-05,1.18e-05,1.7e-05,-0.002229282,2.0600000000000003e-05,2.59e-05,5.91e-06
2005-10-10 00:00:00+01:00,.OMXHPI,3.8299999999999996e-05,100001,5.39e-05,961,7727.06,4.270000000000001e-05,4.88e-05,7675.81,4.270000000000001e-05,183001,3.8299999999999996e-05,1.09e-05,8.69e-06,1.09e-05,0.0066546290000000004,5.3500000000000006e-05,4.88e-05,0.000113935
2005-10-11 00:00:00+01:00,.OMXHPI,6.92e-05,100000,6.45e-05,961,7768.28,6.24e-05,7.59e-05,7720.15,6.24e-05,183000,6.92e-05,3.8299999999999996e-05,9.79e-06,3.8299999999999996e-05,0.006214981999999999,6.51e-05,7.59e-05,1.99e-05
2005-10-12 00:00:00+01:00,.OMXHPI,5.85e-05,100000,3.02e-05,961,7734.26,6.07e-05,3.09e-05,7748.86,6.07e-05,183000,5.85e-05,2.59e-05,1.15e-05,2.59e-05,-0.001885925,3.01e-05,3.09e-05,2.07e-05
2005-10-13 00:00:00+01:00,.OMXHPI,3.35e-05,100000,3.8799999999999994e-05,960,7604.59,2.8199999999999998e-05,4.02e-05,7713.48,2.8199999999999998e-05,182904,3.35e-05,2.46e-05,1.91e-05,2.46e-05,-0.014217435,3.6700000000000004e-05,4.02e-05,8.08e-05
2005-10-14 00:00:00+01:00,.OMXHPI,7.04e-05,100000,6.28e-05,961,7557.29,5.660000000000001e-05,7.37e-05,7577.49,5.660000000000001e-05,182901,7.04e-05,3.46e-05,2.2100000000000002e-05,3.46e-05,-0.00266935,6.31e-05,7.37e-05,0.000115765
2005-10-17 00:00:00+01:00,.OMXHPI,5.19e-05,100000,3.15e-05,960,7608.61,1.22e-05,5.6399999999999995e-05,7562.55,1.22e-05,182902,5.19e-05,4.91e-06,4.03e-06,4.91e-06,0.006072066,3.2e-05,5.6399999999999995e-05,4.44e-05
2005-10-18 00:00:00+01:00,.OMXHPI,2.7300000000000003e-05,100000,2.59e-05,960,7584.51,2.8100000000000002e-05,3.73e-05,7586.86,2.8100000000000002e-05,182901,2.7300000000000003e-05,9.12e-06,6.52e-06,9.12e-06,-0.000309794,2.54e-05,3.73e-05,3.73e-05
