Date,Symbol,rv5_ss,open_time,rk_twoscale,nobs,close_price,bv_ss,rv10,open_price,bv,close_time,rv5,rsv_ss,medrv,rsv,open_to_close,rk_th2,rv10_ss,rk_parzen
2005-10-03 00:00:00+01:00,.OMXC20,1.88e-05,100008,2.22e-05,2132,368.92,1.92e-05,1.8e-05,370.21,1.92e-05,175527,1.88e-05,1.1e-05,1.2e-05,1.1e-05,-0.003490594,2.15e-05,1.8e-05,1.66e-05
2005-10-04 00:00:00+01:00,.OMXC20,3.570000000000001e-05,100007,4.1899999999999995e-05,2356,366.97,3.6e-05,3.05e-05,369.12,3.6e-05,175520,3.570000000000001e-05,2.01e-05,2.2800000000000002e-05,2.01e-05,-0.005841694000000001,4.03e-05,3.05e-05,3.76e-05
2005-10-05 00:00:00+01:00,.OMXC20,4.8200000000000006e-05,100007,5.21e-05,2996,366.74,4.8599999999999995e-05,5.65e-05,366.87,4.8599999999999995e-05,175512,4.8200000000000006e-05,1.76e-05,1.93e-05,1.76e-05,-0.00035441199999999997,5.16e-05,5.65e-05,4.36e-05
2005-10-06 00:00:00+01:00,.OMXC20,6.94e-05,100008,5.7499999999999995e-05,3335,362.86,5.39e-05,9.340000000000001e-05,366.16,5.39e-05,175509,6.94e-05,5.5299999999999996e-05,1.67e-05,5.5299999999999996e-05,-0.009053311,5.6999999999999996e-05,9.340000000000001e-05,7.2e-05
2005-10-07 00:00:00+01:00,.OMXC20,5e-05,100008,3.98e-05,2719,366.21,4.14e-05,3.65e-05,363.05,4.14e-05,175509,5e-05,1.28e-05,1.82e-05,1.28e-05,0.008666374000000001,3.8799999999999994e-05,3.65e-05,4.74e-05
2005-10-10 00:00:00+01:00,.OMXC20,5.13e-05,100007,3.45e-05,2333,369.42,3.07e-05,5.0900000000000004e-05,366.5,3.07e-05,175509,5.13e-05,1.31e-05,1.95e-05,1.31e-05,0.007935687,3.34e-05,5.0900000000000004e-05,5.31e-05
2005-10-11 00:00:00+01:00,.OMXC20,2.35e-05,100025,2.51e-05,2451,370.75,2.11e-05,2.8000000000000003e-05,369.44,2.11e-05,175509,2.35e-05,8.43e-06,7.93e-06,8.43e-06,0.003539635,2.4299999999999998e-05,2.8000000000000003e-05,3.4399999999999996e-05
2005-10-12 00:00:00+01:00,.OMXC20,3.5100000000000006e-05,100002,3.570000000000001e-05,2223,366.62,3.4399999999999996e-05,3.65e-05,370.56,3.4399999999999996e-05,175507,3.5100000000000006e-05,2.34e-05,1.21e-05,2.34e-05,-0.010689486000000002,3.52e-05,3.65e-05,3.9200000000000004e-05
2005-10-13 00:00:00+01:00,.OMXC20,6.7e-05,100007,6.07e-05,3374,357.63,5.5299999999999996e-05,8.43e-05,366.52,5.5299999999999996e-05,175537,6.7e-05,5.42e-05,2.27e-05,5.42e-05,-0.024554158,5.94e-05,8.43e-05,0.000146845
2005-10-14 00:00:00+01:00,.OMXC20,7.809999999999999e-05,100021,8.56e-05,3686,356.52,6.829999999999999e-05,6.409999999999999e-05,357.53,6.829999999999999e-05,175508,7.809999999999999e-05,4.16e-05,2.95e-05,4.16e-05,-0.002828935,8.73e-05,6.409999999999999e-05,6.99e-05
2005-10-17 00:00:00+01:00,.OMXC20,5.8899999999999995e-05,100008,5.2900000000000005e-05,2242,359.7,3.69e-05,7.36e-05,356.81,3.69e-05,175515,5.8899999999999995e-05,1.1599999999999999e-05,1.32e-05,1.1599999999999999e-05,0.008066923,5.3700000000000004e-05,7.36e-05,6.759999999999999e-05
2005-10-18 00:00:00+01:00,.OMXC20,2.75e-05,100009,2.6000000000000002e-05,2108,356.5,2.02e-05,2.75e-05,358.93,2.02e-05,175527,2.75e-05,1.73e-05,1.28e-05,1.73e-05,-0.006793144,2.6000000000000002e-05,2.75e-05,3.65e-05
2005-10-19 00:00:00+01:00,.OMXC20,0.00019857,100008,0.00011130299999999999,3998,346.95,0.000169017,0.000295667,355.34,0.000169017,175509,0.00019857,0.00017201,4.9e-05,0.00017201,-0.023894400000000003,0.000111629,0.000295667,0.000374372
2005-10-20 00:00:00+01:00,.OMXC20,0.000117486,100008,7.68e-05,2886,348.31,3.39e-05,0.00010818899999999999,347.73,3.39e-05,175509,0.000117486,2.2899999999999998e-05,2.02e-05,2.2899999999999998e-05,0.0016665710000000002,7.65e-05,0.00010818899999999999,0.00011012200000000001
2005-10-21 00:00:00+01:00,.OMXC20,0.000147485,100008,8.379999999999999e-05,3313,343.04,6.29e-05,0.00017130599999999998,347.92,6.29e-05,175524,0.000147485,0.00012859,3.41e-05,0.00012859,-0.01412551,8.41e-05,0.00017130599999999998,0.000155995
2005-10-24 00:00:00+01:00,.OMXC20,0.00011717100000000001,100000,8.540000000000002e-05,502,351.49,6.74e-05,0.000145618,343.04,6.74e-05,182106,0.00011717100000000001,1.21e-05,2.33e-05,1.21e-05,0.024334203,8.7e-05,0.000145618,0.00018475299999999998
2005-10-25 00:00:00+01:00,.OMXC20,0.00013887600000000002,100000,0.000109141,502,352.03,3.6e-05,0.000143836,351.49,3.6e-05,182100,0.00013887600000000002,2.35e-05,1.9399999999999997e-05,2.35e-05,0.001535138,0.000106186,0.000143836,8.49e-05
2005-10-26 00:00:00+01:00,.OMXC20,4.1899999999999995e-05,100000,3.2500000000000004e-05,516,353.39,3.8799999999999994e-05,3.53e-05,352.03,3.8799999999999994e-05,182108,4.1899999999999995e-05,1.92e-05,2.05e-05,1.92e-05,0.003855864,2.9600000000000005e-05,3.53e-05,1.88e-05
2005-10-27 00:00:00+01:00,.OMXC20,4.24e-05,100003,3.68e-05,502,348.7,3.98e-05,2.78e-05,353.39,3.98e-05,182107,4.24e-05,3.04e-05,1.67e-05,3.04e-05,-0.013360308999999999,3.5e-05,2.78e-05,6.78e-05
2005-10-28 00:00:00+01:00,.OMXC20,7.2e-05,100007,5.8399999999999997e-05,502,350.05,5.2000000000000004e-05,6.36e-05,348.7,5.2000000000000004e-05,182113,7.2e-05,4.26e-05,1.7e-05,4.26e-05,0.0038640479999999997,5.7600000000000004e-05,6.36e-05,4.6299999999999994e-05
2005-10-31 00:00:00+00:00,.OMXC20,0.00011980299999999999,90007,9.2e-05,502,356.82,3.98e-05,0.00010109200000000001,350.63,3.98e-05,172110,0.00011980299999999999,1.1400000000000001e-05,1.39e-05,1.1400000000000001e-05,0.017499917,8.98e-05,0.00010109200000000001,0.000104399
2005-11-01 00:00:00+00:00,.OMXC20,0.00010127399999999999,90008,9.17e-05,502,362.81,7.730000000000001e-05,8.540000000000002e-05,356.82,7.730000000000001e-05,172108,0.00010127399999999999,2.47e-05,3.929999999999999e-05,2.47e-05,0.016647828,9.05e-05,8.540000000000002e-05,0.00013251
2005-11-02 00:00:00+00:00,.OMXC20,9.640000000000001e-05,90006,7.45e-05,502,361.0,7.69e-05,9.02e-05,362.81,7.69e-05,172110,9.640000000000001e-05,6.12e-05,3.5799999999999996e-05,6.12e-05,-0.005001323,7.3e-05,9.02e-05,3.4200000000000005e-05
2005-11-03 00:00:00+00:00,.OMXC20,0.000135279,90000,0.00010203899999999999,502,365.91,5.660000000000001e-05,0.000105586,361.0,5.660000000000001e-05,172100,0.000135279,1.95e-05,2.22e-05,1.95e-05,0.013509443000000001,0.000100011,0.000105586,6.879999999999999e-05
2005-11-04 00:00:00+00:00,.OMXC20,4.48e-05,90001,4e-05,502,365.12,3.2e-05,3.72e-05,365.91,3.2e-05,172100,4.48e-05,1.64e-05,1e-05,1.64e-05,-0.002161335,3.9200000000000004e-05,3.72e-05,2.25e-05
2005-11-07 00:00:00+00:00,.OMXC20,4.1200000000000005e-05,90008,3.53e-05,502,366.74,4.0600000000000004e-05,4.54e-05,365.12,4.0600000000000004e-05,172110,4.1200000000000005e-05,1.92e-05,1.56e-05,1.92e-05,0.004427083,3.52e-05,4.54e-05,2.3800000000000003e-05
2005-11-08 00:00:00+00:00,.OMXC20,4.6500000000000005e-05,90000,4.31e-05,537,365.47,3.18e-05,4.7499999999999996e-05,366.74,3.18e-05,172109,4.6500000000000005e-05,2.23e-05,1.8e-05,2.23e-05,-0.0034689540000000002,4.29e-05,4.7499999999999996e-05,5.27e-05
2005-11-09 00:00:00+00:00,.OMXC20,2.0399999999999998e-05,90000,1.7899999999999998e-05,502,365.7,1.67e-05,1.65e-05,365.47,1.67e-05,172109,2.0399999999999998e-05,1.01e-05,6.87e-06,1.01e-05,0.000629129,1.7e-05,1.65e-05,8.95e-06
2005-11-10 00:00:00+00:00,.OMXC20,2.7600000000000003e-05,90007,2.59e-05,502,363.67,2.57e-05,1.84e-05,365.7,2.57e-05,172113,2.7600000000000003e-05,1.7e-05,1.55e-05,1.7e-05,-0.0055664619999999995,2.4e-05,1.84e-05,4.5799999999999995e-05
2005-11-11 00:00:00+00:00,.OMXC20,7.69e-05,90008,6.34e-05,502,362.99,5.15e-05,9.059999999999999e-05,363.67,5.15e-05,172109,7.69e-05,2.8600000000000004e-05,2.24e-05,2.8600000000000004e-05,-0.0018715770000000001,6.440000000000001e-05,9.059999999999999e-05,3.2500000000000004e-05
2005-11-14 00:00:00+00:00,.OMXC20,2.8899999999999998e-05,90007,2.98e-05,502,366.19,2.7000000000000002e-05,3.13e-05,362.99,2.7000000000000002e-05,172101,2.8899999999999998e-05,9.39e-06,1.63e-05,9.39e-06,0.008777039,2.8899999999999998e-05,3.13e-05,3.34e-05
2005-11-15 00:00:00+00:00,.OMXC20,3.289999999999999e-05,90000,2.3800000000000003e-05,502,365.14,2.7899999999999997e-05,2.01e-05,366.19,2.7899999999999997e-05,172100,3.289999999999999e-05,1.49e-05,1.29e-05,1.49e-05,-0.0028714829999999998,2.18e-05,2.01e-05,9.51e-06
