,date,price,spot,T,strike,risk_free,t,days to maturity,return,implied vol,fit vol,theory price,Simulate price
132,2018-07-06,22.71,77.11,2.23013698630137,50,0,0.5068493150684932,1.7232876712328766,-0.003624599437499043,0.12466172648390697,0.12947836190995837,27.12811471779861,26.70189885982204
133,2018-07-09,23.33,78.07,2.23013698630137,50,0,0.5150684931506849,1.7150684931506848,0.012372886287330687,0.12297285298373081,0.1296237821444977,28.084297983754368,26.870206721872037
134,2018-07-10,23.66,78.86,2.23013698630137,50,0,0.5178082191780822,1.7123287671232876,0.010068268317281692,0.11900193076782363,0.12967100771586693,28.871813743161916,28.19616449506654
135,2018-07-11,21.07,73.4,2.23013698630137,50,0,0.5205479452054794,1.7095890410958905,-0.07175019282901118,0.16367338674704213,0.12971762275216586,23.441725622527677,22.81551798835033
136,2018-07-12,21.93,74.45,2.23013698630137,50,0,0.5232876712328767,1.7068493150684931,0.014203823509547853,0.16557888904124357,0.12976363512953865,24.48275237026852,23.81905060709397
137,2018-07-13,22.09,75.33,2.23013698630137,50,0,0.5260273972602739,1.7041095890410958,0.011750702707585603,0.16337216378393002,0.12980905262274897,25.356660979886634,24.189729501173282
138,2018-07-16,20.05,71.84,2.23013698630137,50,0,0.5342465753424658,1.6958904109589041,-0.04743703784365927,0.17081227196006626,0.1299418120516015,21.89825180730736,20.915736474084564
139,2018-07-17,20.28,72.16,2.23013698630137,50,0,0.536986301369863,1.6931506849315068,0.004444451760424073,0.17060297360399024,0.12998492577347712,22.21404766507856,20.8131011381698
140,2018-07-18,20.69,72.9,2.23013698630137,50,0,0.5397260273972603,1.6904109589041094,0.010202763260243941,0.17129860248540937,0.13002748200935602,22.945595350277216,21.657317802517703
141,2018-07-19,20.54,72.58,2.23013698630137,50,0,0.5424657534246575,1.6876712328767123,-0.004399237229687714,0.17123234439909113,0.13006948795252035,22.628836347212648,22.007026699281695
142,2018-07-20,20.88,73.07,2.23013698630137,50,0,0.5452054794520548,1.6849315068493151,0.006728484018201364,0.17207964659712258,0.13011095070365322,23.113554247791463,21.98794887713413
143,2018-07-23,21.65,73.06,2.23013698630137,50,0,0.5534246575342465,1.6767123287671233,-0.00013686443598981413,0.17040150856856562,0.1302321494476026,23.103161789932983,22.45012991108987
144,2018-07-24,22.14,73.44,2.23013698630137,50,0,0.5561643835616439,1.673972602739726,0.005187724945098893,0.1696010484591257,0.13027150862680745,23.4794259900741,22.638628807723503
145,2018-07-25,22.76,73.93,2.23013698630137,50,0,0.5589041095890411,1.6712328767123288,0.006649953256773422,0.13333459523494928,0.13031035876954586,23.96509579881412,23.55003799309234
146,2018-07-26,23.32,74.54,2.23013698630137,50,0,0.5616438356164384,1.6684931506849314,0.00821719448210434,0.13179413356427758,0.130348706445377,24.570361328102734,24.31317456533421
147,2018-07-27,22.89,74.29,2.23013698630137,50,0,0.5643835616438356,1.665753424657534,-0.0033595408873976496,0.12998600027034804,0.13038655813927916,24.322031770206458,23.457321384628816
148,2018-07-30,23.28,74.97,2.23013698630137,50,0,0.5726027397260274,1.6575342465753424,0.009111680351255202,0.07182985760728171,0.13049720093321038,24.99699325519419,24.047967890801207
149,2018-07-31,22.33,74.25,2.23013698630137,50,0,0.5753424657534246,1.654794520547945,-0.009650255832161392,0.08232072145409457,0.13053313189531504,24.281771936945816,23.676974138186466
150,2018-08-01,21.12,72.39,2.23013698630137,50,0,0.5780821917808219,1.652054794520548,-0.02536960937775934,0.10341610558910955,0.13056859806922966,22.438510174756637,21.306714595623042
151,2018-08-02,21.9,73.45,2.23013698630137,50,0,0.5808219178082191,1.6493150684931508,0.014536734314837041,0.10772730850057233,0.1306036054547923,23.487892758054606,23.096524187048896
152,2018-08-03,21.9,73.21,2.23013698630137,50,0,0.5835616438356165,1.6465753424657534,-0.003272878961335657,0.10726374673663824,0.13063815997458197,23.2498727240458,22.830054006440538
153,2018-08-06,22.42,73.75,2.23013698630137,50,0,0.5917808219178082,1.6383561643835616,0.00734897156137837,0.10827393408820178,0.13073916442698133,23.78472775482394,21.975955408504202
154,2018-08-07,23.16,74.65,2.23013698630137,50,0,0.5945205479452055,1.6356164383561644,0.012129528765269626,0.11044729722448908,0.13077196519877468,24.678019273123013,23.581210185005634
155,2018-08-08,21.53,72.28,2.23013698630137,50,0,0.5972602739726027,1.632876712328767,-0.03226305826117137,0.1265966050933774,0.1308043415931131,22.328304602541415,20.94936857049358
156,2018-08-09,21.53,72.07,2.23013698630137,50,0,0.6,1.6301369863013697,-0.0029095967876777706,0.1248969656674569,0.13083629908943073,22.120463952436765,20.680753049080657
157,2018-08-10,21.86,72.81,2.23013698630137,50,0,0.6027397260273972,1.6273972602739726,0.010215439470269594,0.1272010211585167,0.13086784309659025,22.852388958241598,22.033165164511004
158,2018-08-13,21.54,72.61,2.23013698630137,50,0,0.6109589041095891,1.6191780821917807,-0.0027506550144638098,0.12530643624955667,0.13096004723213697,22.65379027924503,21.726131361475836
159,2018-08-14,21.56,72.46,2.23013698630137,50,0,0.6136986301369863,1.6164383561643834,-0.0020679679252246785,0.1246505204021507,0.13098998999135694,22.505126172832746,21.21558737456536
160,2018-08-15,20.55,70.76,2.23013698630137,50,0,0.6164383561643836,1.6136986301369862,-0.02374081617534607,0.12360028882887222,0.13101954527849466,20.82627747673604,20.290029915110406
161,2018-08-16,20.99,71.43,2.23013698630137,50,0,0.6191780821917808,1.610958904109589,0.009424079875296698,0.12135677451999523,0.13104871809762486,21.48666057919371,20.258698249670378
162,2018-08-17,21.14,71.83,2.23013698630137,50,0,0.6219178082191781,1.6082191780821917,0.0055842669198282735,0.12230951884980035,0.1310775133883591,21.881465488094264,21.131708765143202
163,2018-08-20,21.41,72.21,2.23013698630137,50,0,0.6301369863013698,1.6,0.005276324376380259,0.12178257486034674,0.13116168253667612,22.25649345091996,21.714436595541198
164,2018-08-21,21.26,72.63,2.23013698630137,50,0,0.6328767123287671,1.5972602739726027,0.005799519154986221,0.1195013396607656,0.13118901584944956,22.671968840044144,21.637265852686898
165,2018-08-22,22.82,74.78,2.23013698630137,50,0,0.6356164383561644,1.5945205479452054,0.029172409930890986,0.11556322490368785,0.13121599539356069,24.80514741066066,24.203236863207486
166,2018-08-23,22.93,74.73,2.23013698630137,50,0,0.6383561643835617,1.591780821917808,-0.0006688516067683281,0.11513320390799289,0.13124262573887,24.755309700528258,23.728054437882818
167,2018-08-24,23.32,75.82,2.23013698630137,50,0,0.6410958904109589,1.5890410958904109,0.014480492145989565,0.11643233579769205,0.1312689113963547,25.839371440717883,24.419419336524662
168,2018-08-27,23.47,76.21,2.23013698630137,50,0,0.6493150684931507,1.580821917808219,0.005130577589837593,0.11551871867923784,0.13134574448420555,26.227311603937487,25.83474438525279
169,2018-08-28,23.37,75.95,2.23013698630137,50,0,0.6520547945205479,1.5780821917808219,-0.0034174586362443193,0.11588244512557867,0.13137069534877813,25.968329225954825,24.609519920029104
170,2018-08-29,24.05,77.14,2.23013698630137,50,0,0.6547945205479452,1.5753424657534247,0.015546723738300017,0.09639533537187239,0.13139532322330905,27.15361884135112,26.420436897223247
171,2018-08-30,24.4,77.77,2.23013698630137,50,0,0.6575342465753424,1.5726027397260274,0.008133799926770102,0.09637847335067974,0.13141963228103062,27.781582834814458,27.558730734645792
172,2018-08-31,24.06,77.42,2.23013698630137,50,0,0.6602739726027397,1.56986301369863,-0.004510607557349999,0.1007470868880437,0.13144362664138903,27.43254597894265,26.413805195672968
173,2018-09-03,24.4,78.15,2.23013698630137,50,0,0.6684931506849315,1.5616438356164384,0.009384911717983613,0.10066459619073752,0.13151376194041164,28.160255563849198,27.436845244736507
174,2018-09-04,24.32,78.17,2.23013698630137,50,0,0.6712328767123288,1.558904109589041,0.00025588536475318335,0.10202565519523227,0.13153653765406792,28.180133305459634,26.99238947277806
175,2018-09-05,23.7,77.27,2.23013698630137,50,0,0.673972602739726,1.5561643835616437,-0.011580160286746022,0.09361693570235155,0.13155901848468812,27.28259136415756,26.244704534660407
176,2018-09-06,23.19,76.5,2.23013698630137,50,0,0.6767123287671233,1.5534246575342465,-0.010015041113002887,0.09839615694078921,0.13158120824321265,26.515133290131203,25.493637008482583
177,2018-09-07,23.44,76.83,2.23013698630137,50,0,0.6794520547945205,1.5506849315068494,0.004304448047053988,0.09356532774040761,0.13160311069145245,26.84385446077826,26.750571774369963
178,2018-09-10,23.63,77.37,2.23013698630137,50,0,0.6876712328767123,1.5424657534246575,0.007003919681819681,0.09415066348743814,0.13166713106883873,27.381864124282174,26.263164776457277
179,2018-09-11,24.58,79.06,2.23013698630137,50,0,0.6904109589041096,1.5397260273972602,0.021607949307176355,0.10328405329558146,0.1316879209333967,29.067693899042695,27.766054056080858
180,2018-09-12,25.22,79.74,2.23013698630137,50,0,0.6931506849315069,1.536986301369863,0.00856428408466936,0.10019368342431513,0.13170844158160686,29.746420407283807,28.34023136187384
